Artist,Title,Album,Key,Tempo,Genre,Energy,CuePoints,Comment,Overall Volume
Adventure Club,Spiritus Sancti (Boondock Saints Tribute) - Adventure Club Dubstep,,A#m,126.39,,6,5,A#m - 126.39,-4.3 dB
Adventure Club,Temper Trap - Love Lost (Adventure Club Dubstep Remix),,Dm,139.91,,8,5,Dm - 139.91,-6.0 dB
Adventure Club,The Shangri-Las - Remember (Adventure Club Dubstep Remix),,Dm,105.00,,7,8,Dm - 105.00,-7.3 dB
Adventure Club,Thrice - Broken Lungs (Adventure Club Remix),,F,134.00,,7,7,F - 134.00,-6.4 dB
Adventure Club,Need Your Heart 2.0 (Adventure Club X Dion Timmer X Kai),,D#m,150.00,,7,8,D#m - 150.00,-6.9 dB
Adventure Club,Thunderclap,,Fm,128.00,,8,8,Fm - 128.00,-7.3 dB
Adventure Club,Virtual Self - Ghost Voices (Adventure Club Remix),,Bm,150.00,,8,8,Bm - 150.00,-7.9 dB
Adventure Club,Wait,,G,128.00,,7,8,G - 128.00,-8.9 dB
Adventure Club,Without You (Adventure Club & Hunter Siegel),,Em,145.00,,6,8,Em - 145.00,-8.0 dB
Adventure Club,Wonder Feat. The Kite String Tangle,,Gm,123.00,,7,8,Gm - 123.00,-7.8 dB
Adventure Club,Unleash (Life In Color Anthem 2014) (feat. Zak Waters) (Radio Edit),Unleash (Life In Color Anthem 2014) [feat. Zak Waters],C#m,128.00,Dance,8,8,C#m - 128.00,-7.2 dB
Adventure Club,Unleash (Life In Color Anthem 2014) [feat. Zak Waters],Unleash (Life In Color Anthem 2014) [feat. Zak Waters],C#m,128.00,Dance,8,8,C#m - 128.00,-7.5 dB
Adventure Club,Wait,Wait,G,128.00,Electro,7,4,G - 128.00,-8.5 dB
Adventure Club,Where We Are,Where We Are,F,135.00,Dance,6,8,F - 135.00,-8.0 dB
Adventure Club,You'll Never Be Alone,You’ll Never Be Alone,G,128.00,Electro,7,8,G - 128.00,-8.0 dB
Adventure Club,"Underoath - Some Will Seek Forgiveness, Others Escape (Adventure Club Edit)",,Bm,140.01,,5,8,Bm - 140.01,-7.3 dB
Adventure Club,MS MR - Hurricane (Adventure Club Remix),,Am,81.50,,7,6,Am - 81.50,-9.0 dB
Adventure Club,Mike Posner - Please Don't Go (Adventure Club Dubstep Remix),,Am,130.00,,7,8,Am - 130.00,-4.8 dB
Adventure Club,Metric - Collect Call (Adventure Club Dubstep Remix),,D#m,140.00,,7,8,D#m - 140.00,-9.2 dB
Adventure Club,Brand New - Daisy (Adventure Club Remix),,F#m,132.80,,7,8,F#m - 132.80,-5.7 dB
Adventure Club,Breathe (Feat. SONDAR),,C#m,150.00,,6,8,C#m - 150.00,-8.0 dB
Adventure Club,Color Blind (w/ Nurko ft. Dayseeker),,Dm,139.99,,6,8,Dm - 139.99,-10.2 dB
Adventure Club,Crash 2.0,,D#,128.00,,8,4,D# - 128.00,-7.4 dB
Adventure Club,Crash,,Cm,110.00,,8,8,Cm - 110.00,-6.8 dB
Adventure Club,Diana Vickers - Sunlight (Adventure Club Remix),,Fm,138.30,,7,8,Fm - 138.30,-6.3 dB
Adventure Club,Do I See Color (Big Gigantic Remix),,Am,146.00,,8,8,Am - 146.00,-8.2 dB
Adventure Club,Do I See Color,,G#m,140.00,,8,8,G#m - 140.00,-8.1 dB
Adventure Club,Dreams ft ELEA,,Am,95.00,,7,8,Am - 95.00,-9.0 dB
Adventure Club,Firestorm ft Sara Diamond,,C#m,140.01,,6,8,C#m - 140.01,-8.8 dB
Adventure Club,Flight Facilities - Crave You (Adventure Club Remix),,C#m,140.00,,6,8,C#m - 140.00,-8.5 dB
Adventure Club,Forever (Feat. Ben Stevenson),,A#m,128.00,,6,8,A#m - 128.00,-9.1 dB
Adventure Club,Foxes - Youth (Adventure Club Dubstep Remix),,Cm,140.00,,6,8,Cm - 140.00,-8.5 dB
Adventure Club,Ghosts,,A#m,155.00,,5,5,A#m - 155.00,-9.5 dB
Adventure Club,Gold Ft. Yuna,,Am,145.00,,7,8,Am - 145.00,-8.2 dB
Adventure Club,Goodnight,,E,114.99,,3,8,E - 114.99,-8.4 dB
Adventure Club,High Like This - Adventure Club x Squired (Feat. Dia Frampton),,Cm,150.00,,7,8,Cm - 150.00,-8.1 dB
Adventure Club,James Vincent McMorrow - We Don't Eat (Adventure Club Remix),,Em,132.99,,6,8,Em - 132.99,-7.5 dB
Adventure Club,Kaboom - Adventure Club (Original) [Remastered],,Cm,139.99,,7,3,Cm - 139.99,-6.7 dB
Adventure Club,LIPS - Everything To Me (Adventure Club Remix),,Fm,144.00,,7,6,Fm - 144.00,-9.1 dB
Adventure Club,Max Elto - Shadow Of The Sun (Adventure Club Remix),,Bm,140.00,,6,8,Bm - 140.00,-7.7 dB
Adventure Club,Still Awake (feat. Becca Krueger),Love // Chaos,A,80.00,Dance,6,8,A - 80.00,-9.2 dB
Adventure Club,Infinity (feat. Kindred),Love // Chaos,Fm,150.00,Dance,8,7,Fm - 150.00,-4.1 dB
Adventure Club,Back To You (feat. Sara Diamond),Love // Chaos,Bm,150.01,Dance,6,8,Bm - 150.01,-6.9 dB
Adventure Club,All In (feat. Boy Apocalypse),Love // Chaos,D#,149.00,Dance,6,8,D# - 149.00,-7.8 dB
Adventure Club,Already Know,Already Know,Am,140.00,Electro,7,8,Am - 140.00,-6.7 dB
Adventure Club,Already Know (Cinematic Remix),Already Know (Cinematic Remix),Am,150.00,Electro,7,8,Am - 150.00,-8.3 dB
Adventure Club,Already Know (feat. Caly Bevier),Already Know (feat. Caly Bevier),Am,140.00,Dance,7,8,Am - 140.00,-6.7 dB
Adventure Club,Anywhere,Anywhere,D,130.00,Electro,6,3,D - 130.00,-7.0 dB
Adventure Club,Back To You,Back To You,Bm,150.01,Electro,6,8,Bm - 150.01,-6.9 dB
Adventure Club,Broken Love,Broken Love,Am,80.00,Electro,7,8,Am - 80.00,-8.5 dB
Adventure Club,Gold (feat. Yuna),Calling All Heroes,Am,145.00,Dance,7,8,Am - 145.00,-7.6 dB
Adventure Club,Wonder (feat. The Kite String Tangle),Calling All Heroes,Gm,123.00,Dance,7,8,Gm - 123.00,-7.3 dB
Adventure Club,Crash,Calling All Heroes,Cm,110.00,Dance,8,8,Cm - 110.00,-6.3 dB
Adventure Club,Thunderclap,Calling All Heroes,Fm,128.00,Dance,8,8,Fm - 128.00,-6.7 dB
Adventure Club,Colorblind,Colorblind,Dm,139.99,Electro,6,8,Dm - 139.99,-7.6 dB
Adventure Club,Do I See Color (Big Gigantic Remix),Do I See Color (Big Gigantic Remix),Am,146.00,Electro,8,8,Am - 146.00,-7.7 dB
Adventure Club,Drive,Drive,D,150.01,Electro,7,8,D - 150.01,-8.7 dB
Adventure Club,Follow Me,Follow Me,Am,150.00,Electro,7,8,Am - 150.00,-5.2 dB
Adventure Club,Gold,Gold,Am,145.00,Electro,7,8,Am - 145.00,-8.2 dB
Adventure Club,Away From Myself,Away From Myself,Am,150.00,Electro,7,8,Am - 150.00,-6.6 dB
