Artist,Album,Title,Key,BPM,Energy
Adventure Club & Squired Feat. Dia Frampton,Love // Chaos,High Like This,Cm,150.00,6
Adventure Club & Squired Feat. Dia Frampton,Love // Chaos,High Like This,Cm,150.00,6
Adventure Club Feat. Ben Stevenson,Red // Blue,Forever,A#m,128.00,6
Adventure Club Feat. Cammie Robinson,Love // Chaos,Broken Love,Am,80.00,7
Adventure Club Feat. Cammie Robinson,Love // Chaos,Broken Love,Am,80.00,7
Adventure Club Feat. Delaney Jane,Red // Blue,Limitless,Cm,80.00,8
Adventure Club Feat. Elea,Red // Blue,Dreams,Am,95.00,7
Adventure Club Feat. Elea,Red // Blue,Dreams,Am,95.00,7
Adventure Club Feat. Kai,Need Your Heart: The Remixes,Need Your Heart,Cm,140.00,7
Adventure Club Feat. Kai,Need Your Heart,Need Your Heart,Cm,140.00,7
Adventure Club Feat. Kai,Need Your Heart: The Remixes,Need Your Heart (Cry Wolf Remix),Cm,130.00,8
Adventure Club Feat. Kai,Need Your Heart: The Remixes,Need Your Heart (Candyland Remix),Cm,128.00,8
Adventure Club Feat. Kai,Need Your Heart: The Remixes,Need Your Heart (Protohype Remix),Cm,140.00,7
Adventure Club Feat. Kai,Need Your Heart,Need Your Heart,Cm,140.00,7
Adventure Club Feat. Kai,Need Your Heart: The Remixes,Need Your Heart (Minnesota Remix),Cm,145.00,7
Adventure Club Feat. Krewella,Rise & Fall,Rise & Fall,Fm,140.00,8
Adventure Club Feat. Krewella,Rise & Fall,Rise & Fall,Fm,140.00,7
Adventure Club Feat. Krewella,Rise & Fall,Rise & Fall,Fm,140.00,7
Adventure Club Feat. Krewella,Rise & Fall,Rise & Fall,Fm,140.00,8
Adventure Club Feat. Leah Culver,Red // Blue,Reaction,Em,112.00,8
Adventure Club Feat. Sara Diamond,Love // Chaos,Back to You,Bm,150.01,6
Adventure Club Feat. Sara Diamond,Love // Chaos,Back to You,Bm,150.01,6
Adventure Club Feat. Sara Diamond,Red // Blue,Firestorm,C#m,140.01,6
Adventure Club Feat. Sara Diamond,Red // Blue,Firestorm,C#m,140.01,6
Adventure Club Feat. Sondar,Red // Blue,Breathe,C#m,150.00,6
Adventure Club Feat. The Kite String Tangle,Calling All Heroes,Wonder,Gm,123.00,7
Adventure Club Feat. The Kite String Tangle,Calling All Heroes,Wonder,Gm,123.00,7
Adventure Club Feat. Yuna,Love // Chaos,Rebellious,Cm,80.00,6
Adventure Club Feat. Yuna,Calling All Heroes,Gold,Am,145.00,6
Adventure Club Feat. Yuna,Love // Chaos,Rebellious,Cm,80.00,6
Adventure Club Feat. Yuna,Calling All Heroes,Gold,Am,145.00,6
